"","symbol","exchange","timegrp","effectiveSpread","price","spread","size","primary exchange"
"934","CVX","B","Midday",0.0110641912365636,119.165425510271,0.0121274366446421,16472,"N"
"936","CVX","C","Midday",0.00999995640345982,119.124285561698,0.0100010463169643,1913,"N"
"942","CVX","J","Midday",0.0101809725434341,119.195974411947,0.0123826450389215,35693,"N"
"945","CVX","K","Midday",0.00892571439960492,119.292638555023,0.0116451959268278,188118,"N"
"948","CVX","N","Midday",0.0107360905756446,119.299547930086,0.0131604693792465,281192,"N"
"951","CVX","P","Midday",0.0086333797476386,119.275643998486,0.0114461176812986,139506,"N"
"954","CVX","Q","Midday",0.00878655749639829,119.271971661112,0.0121291130557768,191913,"N"
"957","CVX","W","Midday",0.0133332752046131,119.132142566499,0.013809567406064,4200,"N"
"958","CVX","X","Midday",0.0139991760253906,119.213000488281,0.0159996032714844,1000,"N"
"961","CVX","Y","Midday",0.0109836599214481,119.305245863284,0.0127319169174778,19181,"N"
"964","CVX","Z","Midday",0.0087812115783337,119.264279816347,0.0118816521940331,121226,"N"
"970","DD","B","Midday",0.00962247553559923,49.0498452071881,0.0100691228388101,32542,"N"
"973","DD","C","Midday",0.00933329264322917,49.161333211263,0.00933329264322917,2996,"N"
"979","DD","J","Midday",0.00878598115094396,49.0968802453696,0.00939294901907343,71423,"N"
"982","DD","K","Midday",0.00818766057491302,49.0950507372618,0.00872661173343658,155034,"N"
"985","DD","N","Midday",0.00911303786261365,49.0871728085366,0.00936429431033652,322501,"N"
"988","DD","P","Midday",0.00768335267672953,49.1134624611174,0.00942927527874454,148137,"N"
"991","DD","Q","Midday",0.00837415955665353,49.0987096484012,0.00992674414456853,369767,"N"
"993","DD","W","Midday",0.0112008666992187,49.1492001342773,0.0104006958007813,3000,"N"
"994","DD","X","Midday",0.00851920798972801,49.1381479899089,0.0114816736291956,3400,"N"
"997","DD","Y","Midday",0.00973439723887342,49.0766223339324,0.0101066548773583,23793,"N"
"1000","DD","Z","Midday",0.00832340819883807,49.1046400363242,0.00965760777769013,277231,"N"
"1005","DELL","A","Midday",0.00881245732307434,14.2245937585831,0.00999996066093445,47014,"Q"
"1008","DELL","B","Midday",0.00867443870240043,14.22750319109,0.00978114276625782,276827,"Q"
"1009","DELL","C","Midday",0.010357175554548,14.2266070161547,0.00928572246006557,7700,"Q"
"1015","DELL","J","Midday",0.00887675658898419,14.2265351362492,0.00976960450273505,885135,"Q"
"1018","DELL","K","Midday",0.00808634312032796,14.2294100768275,0.00863310175833942,376439,"Q"
"1020","DELL","M","Midday",0.00888877444797092,14.2222220102946,0.00888877444797092,900,"Q"
"1023","DELL","P","Midday",0.00622578972914393,14.2338066568648,0.00847364155701418,783857,"Q"
"1026","DELL","Q","Midday",0.00477647506141387,14.2318002272822,0.00930013766708484,650811,"Q"
"1029","DELL","W","Midday",0.00999969482421875,14.2196000671387,0.00999969482421875,9500,"Q"
"1032","DELL","X","Midday",0.00993953658734924,14.2245015176041,0.00993953658734924,99826,"Q"
"1035","DELL","Y","Midday",0.00965600494944721,14.226249981364,0.00967894125422207,160131,"Q"
"1038","DELL","Z","Midday",0.00603886124837464,14.2281050534538,0.00974029678007516,916428,"Q"
"1044","DIS","B","Midday",0.008531257931122,57.2757062534828,0.0092090671345339,21075,"N"
"1047","DIS","C","Midday",0.0087096921859249,57.2606448511924,0.00806439307428175,4167,"N"
"1053","DIS","J","Midday",0.00912479594375958,57.272119031061,0.00954496046290089,68784,"N"
"1056","DIS","K","Midday",0.00818745055107432,57.2631922795813,0.0086505079317429,162237,"N"
"1059","DIS","N","Midday",0.00926301754663266,57.2668974358561,0.00971133820254914,473855,"N"
"1062","DIS","P","Midday",0.0076406481491068,57.2418603779679,0.00969228209614264,182415,"N"
"1065","DIS","Q","Midday",0.00809457500930513,57.2553605297442,0.00976614383450729,398413,"N"
"1068","DIS","W","Midday",0.00999985879926539,57.2120891969595,0.0097014014400653,7400,"N"
"1070","DIS","X","Midday",0.0091998291015625,57.2801997375488,0.00959991455078125,3203,"N"
"1073","DIS","Y","Midday",0.00963734488450844,57.2523567913143,0.00992354909882291,65683,"N"
"1076","DIS","Z","Midday",0.00806463816003276,57.2607182118209,0.00947865736332458,223906,"N"
"1082","DOW","B","Midday",0.0089372736244386,31.1117391171663,0.0094202843265257,21823,"N"
"1085","DOW","C","Midday",0.00666681925455729,31.2228572482154,0.00666681925455729,3200,"N"
"1091","DOW","J","Midday",0.00903395636607025,31.1219322269246,0.00961013729289427,71154,"N"
"1094","DOW","K","Midday",0.00856543854116507,31.1955951119077,0.00872480856624851,172831,"N"
"1097","DOW","N","Midday",0.00919253090831721,31.2279018829916,0.00944857909300617,330292,"N"
"1100","DOW","P","Midday",0.0072103773915229,31.2142959887012,0.00943680658946259,222978,"N"
"1103","DOW","Q","Midday",0.00800768052427977,31.2100676436907,0.00982130367690057,286413,"N"
"1105","DOW","W","Midday",0.00999995640345982,31.1319046928769,0.00999995640345982,3400,"N"
"1107","DOW","X","Midday",0.0097961036526427,31.2632652983374,0.0102041984091,8600,"N"
"1110","DOW","Y","Midday",0.00934473130098435,31.2060827054189,0.00954411715863437,43460,"N"
"1113","DOW","Z","Midday",0.00826795437044139,31.2068273387935,0.00946298978069913,252560,"N"
"1119","DVN","B","Midday",0.0156944247751474,54.9765479742844,0.0174734583953097,33072,"N"
"1121","DVN","C","Midday",0.00600051879882812,54.9080001831055,0.00600051879882812,700,"N"
"1127","DVN","J","Midday",0.0122932992923032,54.9524839972235,0.015159254620789,33900,"N"
"1130","DVN","K","Midday",0.00969406050078723,55.0276210113448,0.0113902578548509,108159,"N"
