Row Labels;B;C;D;J;K;M;P;Q;W;X;Y;Z
SPHB;;;2000;;;;2500;;;;;
SPHD;;;100;;;;;;;;;
SPLV;200;;17747;300;400;;5000;622;;;;200
SPPP;;;1200;;;;;;;;;
SPXL;1000;;24193;;1700;;2445;3874;;;100;200
SPXS;2000;;90050;;6901;;7400;25900;;;;
SPXU;;2200;115244;4511;10830;;3439;13505;;;300;2400
SRLN;;;600;400;;;800;;;;;
SRS;161;;;;;;100;;;;;
SRTY;200;;17480;;100;;1600;681;;;;
SSG;;;3856;100;100;;1793;;;;;
SSO;1300;;105266;300;38842;;10471;36286;;;1600;9677
STIP;;;430;;;;120;;;;;
STPZ;;;662;;;;;;;;;
SVXY;800;;4566;200;;;2200;1800;;100;400;800
TAN;;;6048;;2000;;146;1306;;;;
TAO;;;1925;400;;;3300;900;;;;1500
TBF;1500;;3096;1000;1229;;400;1071;;;1100;1300
TBT;5360;;24874;1754;3900;;6050;19972;;;1600;7900
TDD;;;100;;;;;;;;;
TDN;;;;;;;800;;;;;
TECL;100;;10450;;;;2200;2951;;;;
TECS;;;1451;;;;100;5026;;;;
THD;;;1875;;100;;11505;900;;;200;600
TIP;;;2924;;100;;;;;;;
TLO;;;;;;;100;;;;;
TLT;1300;600;64462;1900;5600;;15822;21501;;400;1700;9106
TMF;100;;1345;;200;;;;;;;
TMV;702;;7939;1200;900;;2900;26984;;;;1400
TNA;1900;100;113340;3700;15962;4500;16183;18285;;600;5000;9010
TOK;;;1400;;;;;;;;;
TOTS;;;;;;;266;;;;;
TTT;;;650;;;;300;;;;;
TUR;;;774;;;;2302;;;;;
TVIX;;;182659;1300;12785;;11449;10310;100;;100;2006
TWM;400;900;67090;1670;4478;;9700;9113;;100;6200;15856
TYO;;;200;;;;;;;;;
TZA;1000;;222220;3200;25470;;46623;42846;100;900;3400;9338
TZL;;;;;;;;;;;;100
UCO;;;31221;900;3100;;3700;6466;;;200;2383
UDOW;;;3484;;500;;300;;;;;100
UGA;;;1900;;;;;100;;;;100
UGAZ;;100;3768;;100;;700;;;;;
UGL;;;909;100;;;1600;100;;;100;
UGLD;;;10898;;;;1900;;;;;
UMDD;;;;;;;200;400;;;;
UNG;500;;26269;900;3000;;8212;12728;;;800;15300
UPRO;300;;23675;400;5400;500;1900;3296;;400;1000;1000
URA;600;;600;;;;200;;;;;
URE;;;600;1000;;;100;;;;700;526
URTY;400;;3910;;400;;;400;;200;;300
USCI;;;500;;;;;;;;;
USD;;;400;;;;400;;;;;
USLV;;;22121;;500;;3977;;;;;
USMV;;;8125;;100;;2300;900;;;;1900
