;A;B;C;D;J;K;M;N;P;Q;W;X;Y;Z
AME;0;3220;200;12179;1816;600;0;14261;4775;2845;3572;1600;300;3000
AMED;0;2300;100;5100;600;1462;0;0;3063;8846;100;0;400;2700
AMG;0;1373;0;7800;545;700;0;5351;1064;1440;0;0;3700;1614
AMGN;0;2661;200;29334;1000;3414;0;0;4466;38913;0;0;1500;5052
AMID;0;0;0;1781;0;881;0;0;100;0;0;0;0;100
AMJ;0;800;100;28829;2228;1804;0;0;4154;3832;0;0;700;3100
AMKR;0;2400;0;14455;2730;2112;0;0;2363;27117;1000;0;774;4938
AMLP;0;7360;0;132381;4999;3100;0;0;8400;2400;0;100;4700;12407
AMNB;0;0;0;0;0;0;0;0;100;614;0;0;0;0
AMOT;0;0;0;100;0;0;0;0;0;0;0;0;0;0
AMOV;0;0;0;450;0;0;0;0;0;0;0;0;0;0
AMP;0;6564;0;12771;800;1500;0;7855;3300;5586;0;500;1000;3100
AMPE;0;100;0;3842;0;300;0;0;235;1060;0;0;0;0
AMRB;0;0;0;100;0;0;0;0;0;400;0;0;0;0
AMRC;0;420;0;1600;200;200;0;8224;323;800;100;100;100;900
AMRE;0;0;0;100;0;0;0;0;100;100;0;0;0;0
AMRI;0;1500;100;18596;700;5800;0;0;1200;4649;300;0;500;1700
AMRN;0;3807;0;102078;4370;4400;0;0;8000;23628;1000;0;1200;9839
AMRS;0;1300;0;4770;1700;2500;0;0;651;4205;200;0;800;1600
AMS;0;0;0;0;0;0;0;0;100;100;0;0;0;0
AMSC;0;400;0;10000;2100;0;0;0;800;3616;0;0;1699;7458
AMSF;0;0;0;3220;200;400;0;0;0;1594;0;0;100;200
